OrderID,CustomerName,City,Product,Category,Quantity,Price,OrderDate
91,Kavita,Lucknow,Speaker,Accessories,5,44941.66,2026-04-08
103,Neha,Mumbai,Mouse,Accessories,5,40373.63,2026-07-19
104,Priya,Pune,Speaker,Accessories,4,33245.31,2026-01-17
105,Arjun,Delhi,Tablet,Electronics,4,5724.17,2026-03-21
107,Shalini,Lucknow,Printer,Accessories,4,22060.94,2026-06-19
109,Suresh,Bhopal,Webcam,Accessories,4,17151.63,2026-04-28
111,Karan,Bhopal,Mouse,Accessories,5,1002.48,2026-02-03
112,Neha,Hyderabad,Printer,Accessories,5,38029.15,2026-06-16
117,Anjali,Chennai,Keyboard,Accessories,4,14186.73,2026-05-25
121,Meena,Mumbai,Laptop,Electronics,5,14574.8,2026-04-15
125,Anita,Hyderabad,Webcam,Accessories,5,39641.67,2026-02-25
126,Ravi,Hyderabad,Printer,Accessories,4,15218.98,2026-05-14
129,Rahul,Bangalore,Laptop,Electronics,4,22799.93,2026-05-16
132,Rohan,Hyderabad,Mobile,Electronics,5,11628.07,2026-02-09
135,Manish,Kolkata,Speaker,Accessories,5,24942.86,2026-01-20
136,Priya,Hyderabad,Monitor,Electronics,5,12893.21,2026-01-08
138,Anjali,Jaipur,Speaker,Accessories,4,45845.6,2026-02-19
139,Kavita,Jaipur,Mobile,Electronics,4,17724.07,2026-03-11
140,Sneha,Bangalore,Monitor,Electronics,4,34836.85,2026-03-22
141,Manish,Lucknow,Laptop,Electronics,4,4858.96,2026-03-11
143,Kavita,Delhi,Keyboard,Accessories,5,18408.08,2026-07-16
145,Meena,Mumbai,Laptop,Electronics,5,40066.03,2026-06-06
146,Pooja,Lucknow,Laptop,Electronics,5,20695.54,2026-02-27
148,Ravi,Kolkata,Tablet,Electronics,4,49022.11,2026-02-15
150,Vikram,Mumbai,Mouse,Accessories,4,17323.82,2026-07-17
152,Meena,Bangalore,Printer,Accessories,5,24474.9,2026-03-18
154,Deepak,Hyderabad,Keyboard,Accessories,4,2660.54,2026-06-16
155,Manish,Hyderabad,Headphones,Accessories,4,48258.81,2026-02-17
156,Deepak,Pune,Mobile,Electronics,4,5435.73,2026-04-01
159,Manish,Pune,Printer,Accessories,5,2277.01,2026-01-08
160,Pooja,Chennai,Mobile,Electronics,4,48927.72,2026-07-21
164,Manish,Bhopal,Keyboard,Accessories,4,45685.04,2026-02-08
167,Pooja,Hyderabad,Mouse,Accessories,4,42342.54,2026-02-13
168,Meena,Mumbai,Keyboard,Accessories,4,28810.17,2026-05-10
171,Divya,Chennai,Keyboard,Accessories,5,12906.03,2026-07-24
180,Shalini,Lucknow,Monitor,Electronics,5,11457.68,2026-01-21
183,Suresh,Pune,Speaker,Accessories,4,29573.35,2026-06-05
184,Kavita,Mumbai,Printer,Accessories,5,20701.74,2026-03-02
185,Divya,Chennai,Printer,Accessories,4,47552.48,2026-07-12
192,Amit,Pune,Keyboard,Accessories,5,16526.69,2026-02-09
193,Priya,Bangalore,Tablet,Electronics,5,6125.64,2026-01-16
194,Suresh,Pune,Speaker,Accessories,5,5898.17,2026-05-08
198,Deepak,Lucknow,Monitor,Electronics,4,49734.07,2026-05-10
199,Suresh,Lucknow,Webcam,Accessories,4,5409.33,2026-06-04
200,Anita,Chennai,Tablet,Electronics,4,44460.51,2026-04-11
